,date,val (Mbbl/d)
0,10/27/2023,4897
1,10/20/2023,4833
2,10/13/2023,5301
3,10/06/2023,3067
4,09/29/2023,4956
5,09/22/2023,4012
6,09/15/2023,5067
7,09/08/2023,3090
8,09/01/2023,4932
9,08/25/2023,4528
10,08/18/2023,4258
11,08/11/2023,4599
12,08/04/2023,2360
13,07/28/2023,5283
14,07/21/2023,4591
15,07/14/2023,3814
16,07/07/2023,2144
17,06/30/2023,3901
18,06/23/2023,5338
19,06/16/2023,4543
20,06/09/2023,3270
21,06/02/2023,2475
22,05/26/2023,4915
23,05/19/2023,4549
24,05/12/2023,4310
25,05/05/2023,2876
26,04/28/2023,4737
27,04/21/2023,4819
28,04/14/2023,4571
29,04/07/2023,2727
30,03/31/2023,5239
31,03/24/2023,4584
32,03/17/2023,4932
33,03/10/2023,5027
34,03/03/2023,3362
35,02/24/2023,5629
36,02/17/2023,4597
37,02/10/2023,3146
38,02/03/2023,2900
39,01/27/2023,3492
40,01/20/2023,4707
41,01/13/2023,3872
42,01/06/2023,2137
43,12/30/2022,4207
44,12/23/2022,3465
45,12/16/2022,4360
46,12/09/2022,4316
47,12/02/2022,3430
48,11/25/2022,4948
49,11/18/2022,4242
50,11/11/2022,3862
51,11/04/2022,3521
52,10/28/2022,3925
53,10/21/2022,5129
54,10/14/2022,4138
55,10/07/2022,2872
56,09/30/2022,4551
57,09/23/2022,4646
58,09/16/2022,3540
59,09/09/2022,3515
60,09/02/2022,3433
61,08/26/2022,3967
62,08/19/2022,4177
63,08/12/2022,5000
64,08/05/2022,2110
65,07/29/2022,3512
66,07/22/2022,4548
67,07/15/2022,3759
68,07/08/2022,3024
69,07/01/2022,2612
70,06/24/2022,3380
71,06/17/2022,3572
72,06/10/2022,3725
73,06/03/2022,2232
74,05/27/2022,3990
75,05/20/2022,4341
76,05/13/2022,3520
77,05/06/2022,2879
78,04/29/2022,3574
79,04/22/2022,3721
80,04/15/2022,4270
81,04/08/2022,2180
82,04/01/2022,3693
83,03/25/2022,2988
84,03/18/2022,3844
85,03/11/2022,2936
86,03/04/2022,2422
87,02/25/2022,3796
88,02/18/2022,2686
89,02/11/2022,2271
90,02/04/2022,3100
91,01/28/2022,2376
92,01/21/2022,2796
93,01/14/2022,2610
94,01/07/2022,1955
95,12/31/2021,2554
96,12/24/2021,2929
97,12/17/2021,2879
98,12/10/2021,3645
99,12/03/2021,2270
100,11/26/2021,2704
101,11/19/2021,2605
102,11/12/2021,3626
103,11/05/2021,3053
104,10/29/2021,2925
105,10/22/2021,2787
106,10/15/2021,3060
107,10/08/2021,2514
108,10/01/2021,2114
109,09/24/2021,3020
110,09/17/2021,2809
111,09/10/2021,2624
112,09/03/2021,2342
113,08/27/2021,3040
114,08/20/2021,2812
115,08/13/2021,3431
116,08/06/2021,2663
117,07/30/2021,1904
118,07/23/2021,2489
119,07/16/2021,2463
120,07/09/2021,4025
121,07/02/2021,2628
122,06/25/2021,3717
123,06/18/2021,3651
124,06/11/2021,3884
125,06/04/2021,2931
126,05/28/2021,2544
127,05/21/2021,3433
128,05/14/2021,3306
129,05/07/2021,1796
130,04/30/2021,4122
131,04/23/2021,2541
132,04/16/2021,2548
133,04/09/2021,2579
134,04/02/2021,3434
135,03/26/2021,3174
136,03/19/2021,2481
137,03/12/2021,2520
138,03/05/2021,2633
139,02/26/2021,2351
140,02/19/2021,2314
141,02/12/2021,3862
142,02/05/2021,2617
143,01/29/2021,3483
144,01/22/2021,3355
145,01/15/2021,2251
146,01/08/2021,3011
147,01/01/2021,3632
148,12/25/2020,3625
149,12/18/2020,3099
150,12/11/2020,2627
151,12/04/2020,1834
152,11/27/2020,3456
153,11/20/2020,2831
154,11/13/2020,2748
155,11/06/2020,2765
156,10/30/2020,2265
157,10/23/2020,3460
158,10/16/2020,3036
159,10/09/2020,2135
160,10/02/2020,2659
161,09/25/2020,3512
162,09/18/2020,3022
163,09/11/2020,2595
164,09/04/2020,2944
165,08/28/2020,3002
166,08/21/2020,3363
167,08/14/2020,2137
168,08/07/2020,3143
169,07/31/2020,2819
170,07/24/2020,3211
171,07/17/2020,2993
172,07/10/2020,2543
173,07/03/2020,2387
174,06/26/2020,3092
175,06/19/2020,3157
176,06/12/2020,2462
177,06/05/2020,2439
178,05/29/2020,2794
179,05/22/2020,3176
180,05/15/2020,3239
181,05/08/2020,3525
182,05/01/2020,3546
183,04/24/2020,3302
184,04/17/2020,2890
185,04/10/2020,3436
186,04/03/2020,2833
187,03/27/2020,3155
188,03/20/2020,3850
189,03/13/2020,4378
190,03/06/2020,3410
191,02/28/2020,4154
192,02/21/2020,3657
193,02/14/2020,3564
194,02/07/2020,2970
195,01/31/2020,3413
196,01/24/2020,3509
197,01/17/2020,3414
198,01/10/2020,3481
199,01/03/2020,3064
