,date,val (Mbbl/d)
0,10/27/2023,13200
1,10/20/2023,13200
2,10/13/2023,13200
3,10/06/2023,13200
4,09/29/2023,12900
5,09/22/2023,12900
6,09/15/2023,12900
7,09/08/2023,12900
8,09/01/2023,12800
9,08/25/2023,12800
10,08/18/2023,12800
11,08/11/2023,12700
12,08/04/2023,12600
13,07/28/2023,12200
14,07/21/2023,12200
15,07/14/2023,12300
16,07/07/2023,12300
17,06/30/2023,12400
18,06/23/2023,12200
19,06/16/2023,12200
20,06/09/2023,12400
21,06/02/2023,12400
22,05/26/2023,12200
23,05/19/2023,12300
24,05/12/2023,12200
25,05/05/2023,12300
26,04/28/2023,12300
27,04/21/2023,12200
28,04/14/2023,12300
29,04/07/2023,12300
30,03/31/2023,12200
31,03/24/2023,12200
32,03/17/2023,12300
33,03/10/2023,12200
34,03/03/2023,12200
35,02/24/2023,12300
36,02/17/2023,12300
37,02/10/2023,12300
38,02/03/2023,12300
39,01/27/2023,12200
40,01/20/2023,12200
41,01/13/2023,12200
42,01/06/2023,12200
43,12/30/2022,12100
44,12/23/2022,12000
45,12/16/2022,12100
46,12/09/2022,12100
47,12/02/2022,12200
48,11/25/2022,12100
49,11/18/2022,12100
50,11/11/2022,12100
51,11/04/2022,12100
52,10/28/2022,11900
53,10/21/2022,12000
54,10/14/2022,12000
55,10/07/2022,11900
56,09/30/2022,12000
57,09/23/2022,12000
58,09/16/2022,12100
59,09/09/2022,12100
60,09/02/2022,12100
61,08/26/2022,12100
62,08/19/2022,12000
63,08/12/2022,12100
64,08/05/2022,12200
65,07/29/2022,12100
66,07/22/2022,12100
67,07/15/2022,11900
68,07/08/2022,12000
69,07/01/2022,12100
70,06/24/2022,12100
71,06/17/2022,12000
72,06/10/2022,12000
73,06/03/2022,11900
74,05/27/2022,11900
75,05/20/2022,11900
76,05/13/2022,11900
77,05/06/2022,11800
78,04/29/2022,11900
79,04/22/2022,11900
80,04/15/2022,11900
81,04/08/2022,11800
82,04/01/2022,11800
83,03/25/2022,11700
84,03/18/2022,11600
85,03/11/2022,11600
86,03/04/2022,11600
87,02/25/2022,11600
88,02/18/2022,11600
89,02/11/2022,11600
90,02/04/2022,11600
91,01/28/2022,11500
92,01/21/2022,11600
93,01/14/2022,11700
94,01/07/2022,11700
95,12/31/2021,11800
96,12/24/2021,11800
97,12/17/2021,11600
98,12/10/2021,11700
99,12/03/2021,11700
100,11/26/2021,11600
101,11/19/2021,11500
102,11/12/2021,11400
103,11/05/2021,11500
104,10/29/2021,11500
105,10/22/2021,11300
106,10/15/2021,11300
107,10/08/2021,11400
108,10/01/2021,11300
109,09/24/2021,11100
110,09/17/2021,10600
111,09/10/2021,10100
112,09/03/2021,10000
113,08/27/2021,11500
114,08/20/2021,11400
115,08/13/2021,11400
116,08/06/2021,11300
117,07/30/2021,11200
118,07/23/2021,11200
119,07/16/2021,11400
120,07/09/2021,11400
121,07/02/2021,11300
122,06/25/2021,11100
123,06/18/2021,11100
124,06/11/2021,11200
125,06/04/2021,11000
126,05/28/2021,10800
127,05/21/2021,11000
128,05/14/2021,11000
129,05/07/2021,11000
130,04/30/2021,10900
131,04/23/2021,10900
132,04/16/2021,11000
133,04/09/2021,11000
134,04/02/2021,10900
135,03/26/2021,11100
136,03/19/2021,11000
137,03/12/2021,10900
138,03/05/2021,10900
139,02/26/2021,10000
140,02/19/2021,9700
141,02/12/2021,10800
142,02/05/2021,11000
143,01/29/2021,10900
144,01/22/2021,10900
145,01/15/2021,11000
146,01/08/2021,11000
147,01/01/2021,11000
148,12/25/2020,11000
149,12/18/2020,11000
150,12/11/2020,11000
151,12/04/2020,11100
152,11/27/2020,11100
153,11/20/2020,11000
154,11/13/2020,10900
155,11/06/2020,10500
156,10/30/2020,10500
157,10/23/2020,11100
158,10/16/2020,9900
159,10/09/2020,10500
160,10/02/2020,11000
161,09/25/2020,10700
162,09/18/2020,10700
163,09/11/2020,10900
164,09/04/2020,10000
165,08/28/2020,9700
166,08/21/2020,10800
167,08/14/2020,10700
168,08/07/2020,10700
169,07/31/2020,11000
170,07/24/2020,11100
171,07/17/2020,11100
172,07/10/2020,11000
173,07/03/2020,11000
174,06/26/2020,11000
175,06/19/2020,11000
176,06/12/2020,10500
177,06/05/2020,11100
178,05/29/2020,11200
179,05/22/2020,11400
180,05/15/2020,11500
181,05/08/2020,11600
182,05/01/2020,11900
183,04/24/2020,12100
184,04/17/2020,12200
185,04/10/2020,12300
186,04/03/2020,12400
187,03/27/2020,13000
188,03/20/2020,13000
189,03/13/2020,13100
190,03/06/2020,13000
191,02/28/2020,13100
192,02/21/2020,13000
193,02/14/2020,13000
194,02/07/2020,13000
195,01/31/2020,12900
196,01/24/2020,13000
197,01/17/2020,13000
198,01/10/2020,13000
199,01/03/2020,12900
