,date,val (Mbbl/d)
0,10/27/2023,6425
1,10/20/2023,6013
2,10/13/2023,5942
3,10/06/2023,6329
4,09/29/2023,6215
5,09/22/2023,7229
6,09/15/2023,6517
7,09/08/2023,7582
8,09/01/2023,6770
9,08/25/2023,6617
10,08/18/2023,6933
11,08/11/2023,7158
12,08/04/2023,6682
13,07/28/2023,6668
14,07/21/2023,6367
15,07/14/2023,7174
16,07/07/2023,5880
17,06/30/2023,7038
18,06/23/2023,6580
19,06/16/2023,6161
20,06/09/2023,6381
21,06/02/2023,6400
22,05/26/2023,7217
23,05/19/2023,5850
24,05/12/2023,6860
25,05/05/2023,5553
26,04/28/2023,6396
27,04/21/2023,6376
28,04/14/2023,6294
29,04/07/2023,6193
30,03/31/2023,7144
31,03/24/2023,5325
32,03/17/2023,6172
33,03/10/2023,6216
34,03/03/2023,6271
35,02/24/2023,6208
36,02/17/2023,6326
37,02/10/2023,6232
38,02/03/2023,7058
39,01/27/2023,7283
40,01/20/2023,5905
41,01/13/2023,6861
42,01/06/2023,6350
43,12/30/2022,5712
44,12/23/2022,6252
45,12/16/2022,5819
46,12/09/2022,6867
47,12/02/2022,6012
48,11/25/2022,6037
49,11/18/2022,7063
50,11/11/2022,5559
51,11/04/2022,6454
52,10/28/2022,6205
53,10/21/2022,6180
54,10/14/2022,5908
55,10/07/2022,6063
56,09/30/2022,5947
57,09/23/2022,6449
58,09/16/2022,6947
59,09/09/2022,5792
60,09/02/2022,6779
61,08/26/2022,5956
62,08/19/2022,6171
63,08/12/2022,6132
64,08/05/2022,6171
65,07/29/2022,7342
66,07/22/2022,6164
67,07/15/2022,6519
68,07/08/2022,6675
69,07/01/2022,6839
70,06/24/2022,5998
71,06/17/2022,6226
72,06/10/2022,6985
73,06/03/2022,6154
74,05/27/2022,6218
75,05/20/2022,6486
76,05/13/2022,6568
77,05/06/2022,6269
78,04/29/2022,6332
79,04/22/2022,5934
80,04/15/2022,5837
81,04/08/2022,5995
82,04/01/2022,6300
83,03/25/2022,6259
84,03/18/2022,6486
85,03/11/2022,6395
86,03/04/2022,6319
87,02/25/2022,5767
88,02/18/2022,6828
89,02/11/2022,5790
90,02/04/2022,6389
91,01/28/2022,7085
92,01/21/2022,6236
93,01/14/2022,6745
94,01/07/2022,6069
95,12/31/2021,5884
96,12/24/2021,6759
97,12/17/2021,6194
98,12/10/2021,6471
99,12/03/2021,6499
100,11/26/2021,6604
101,11/19/2021,6436
102,11/12/2021,6191
103,11/05/2021,6108
104,10/29/2021,6172
105,10/22/2021,6254
106,10/15/2021,5825
107,10/08/2021,5994
108,10/01/2021,7035
109,09/24/2021,6552
110,09/17/2021,6465
111,09/10/2021,5761
112,09/03/2021,5810
113,08/27/2021,6340
114,08/20/2021,6157
115,08/13/2021,6350
116,08/06/2021,6396
117,07/30/2021,6432
118,07/23/2021,6507
119,07/16/2021,7097
120,07/09/2021,6221
121,07/02/2021,5875
122,06/25/2021,6406
123,06/18/2021,6943
124,06/11/2021,6746
125,06/04/2021,6638
126,05/28/2021,5631
127,05/21/2021,6273
128,05/14/2021,6411
129,05/07/2021,5488
130,04/30/2021,5451
131,04/23/2021,6616
132,04/16/2021,5405
133,04/09/2021,5852
134,04/02/2021,6264
135,03/26/2021,6145
136,03/19/2021,5622
137,03/12/2021,5323
138,03/05/2021,5655
139,02/26/2021,6292
140,02/19/2021,4599
141,02/12/2021,5898
142,02/05/2021,5857
143,01/29/2021,6507
144,01/22/2021,5064
145,01/15/2021,6045
146,01/08/2021,6239
147,01/01/2021,5369
148,12/25/2020,5326
149,12/18/2020,5564
150,12/11/2020,5424
151,12/04/2020,6479
152,11/27/2020,5399
153,11/20/2020,5228
154,11/13/2020,5254
155,11/06/2020,5499
156,10/30/2020,5029
157,10/23/2020,5664
158,10/16/2020,5118
159,10/09/2020,5286
160,10/02/2020,5732
161,09/25/2020,5122
162,09/18/2020,5168
163,09/11/2020,5008
164,09/04/2020,5423
165,08/28/2020,4900
166,08/21/2020,5916
167,08/14/2020,5730
168,08/07/2020,5621
169,07/31/2020,6010
170,07/24/2020,5146
171,07/17/2020,5941
172,07/10/2020,5567
173,07/03/2020,7394
174,06/26/2020,5969
175,06/19/2020,6540
176,06/12/2020,6642
177,06/05/2020,6864
178,05/29/2020,6179
179,05/22/2020,7200
180,05/15/2020,5197
181,05/08/2020,5391
182,05/01/2020,5712
183,04/24/2020,5302
184,04/17/2020,4937
185,04/10/2020,5680
186,04/03/2020,5874
187,03/27/2020,6047
188,03/20/2020,6117
189,03/13/2020,6539
190,03/06/2020,6412
191,02/28/2020,6238
192,02/21/2020,6217
193,02/14/2020,6547
194,02/07/2020,6978
195,01/31/2020,6615
196,01/24/2020,6660
197,01/17/2020,6432
198,01/10/2020,6552
199,01/03/2020,6730
