,date,val (Mbbl/d)
0,10/27/2023,1528
1,10/20/2023,1180
2,10/13/2023,641
3,10/06/2023,3262
4,09/29/2023,1259
5,09/22/2023,3217
6,09/15/2023,1450
7,09/08/2023,4492
8,09/01/2023,1838
9,08/25/2023,2089
10,08/18/2023,2675
11,08/11/2023,2559
12,08/04/2023,4322
13,07/28/2023,1385
14,07/21/2023,1776
15,07/14/2023,3360
16,07/07/2023,3736
17,06/30/2023,3137
18,06/23/2023,1242
19,06/16/2023,1618
20,06/09/2023,3111
21,06/02/2023,3925
22,05/26/2023,2302
23,05/19/2023,1301
24,05/12/2023,2550
25,05/05/2023,2677
26,04/28/2023,1659
27,04/21/2023,1557
28,04/14/2023,1723
29,04/07/2023,3466
30,03/31/2023,1905
31,03/24/2023,741
32,03/17/2023,1240
33,03/10/2023,1189
34,03/03/2023,2909
35,02/24/2023,579
36,02/17/2023,1729
37,02/10/2023,3086
38,02/03/2023,4158
39,01/27/2023,3791
40,01/20/2023,1198
41,01/13/2023,2989
42,01/06/2023,4213
43,12/30/2022,1505
44,12/23/2022,2787
45,12/16/2022,1459
46,12/09/2022,2551
47,12/02/2022,2582
48,11/25/2022,1089
49,11/18/2022,2821
50,11/11/2022,1697
51,11/04/2022,2933
52,10/28/2022,2280
53,10/21/2022,1051
54,10/14/2022,1770
55,10/07/2022,3191
56,09/30/2022,1396
57,09/23/2022,1803
58,09/16/2022,3407
59,09/09/2022,2277
60,09/02/2022,3346
61,08/26/2022,1989
62,08/19/2022,1994
63,08/12/2022,1132
64,08/05/2022,4061
65,07/29/2022,3830
66,07/22/2022,1616
67,07/15/2022,2760
68,07/08/2022,3651
69,07/01/2022,4227
70,06/24/2022,2618
71,06/17/2022,2654
72,06/10/2022,3260
73,06/03/2022,3922
74,05/27/2022,2228
75,05/20/2022,2145
76,05/13/2022,3048
77,05/06/2022,3390
78,04/29/2022,2758
79,04/22/2022,2213
80,04/15/2022,1567
81,04/08/2022,3815
82,04/01/2022,2607
83,03/25/2022,3271
84,03/18/2022,2642
85,03/11/2022,3459
86,03/04/2022,3897
87,02/25/2022,1971
88,02/18/2022,4142
89,02/11/2022,3519
90,02/04/2022,3289
91,01/28/2022,4709
92,01/21/2022,3440
93,01/14/2022,4135
94,01/07/2022,4114
95,12/31/2021,3330
96,12/24/2021,3830
97,12/17/2021,3315
98,12/10/2021,2826
99,12/03/2021,4229
100,11/26/2021,3900
101,11/19/2021,3831
102,11/12/2021,2565
103,11/05/2021,3055
104,10/29/2021,3247
105,10/22/2021,3467
106,10/15/2021,2765
107,10/08/2021,3480
108,10/01/2021,4921
109,09/24/2021,3532
110,09/17/2021,3656
111,09/10/2021,3137
112,09/03/2021,3468
113,08/27/2021,3300
114,08/20/2021,3345
115,08/13/2021,2919
116,08/06/2021,3732
117,07/30/2021,4528
118,07/23/2021,4018
119,07/16/2021,4634
120,07/09/2021,2196
121,07/02/2021,3247
122,06/25/2021,2689
123,06/18/2021,3292
124,06/11/2021,2862
125,06/04/2021,3707
126,05/28/2021,3087
127,05/21/2021,2840
128,05/14/2021,3105
129,05/07/2021,3692
130,04/30/2021,1329
131,04/23/2021,4075
132,04/16/2021,2857
133,04/09/2021,3273
134,04/02/2021,2830
135,03/26/2021,2971
136,03/19/2021,3141
137,03/12/2021,2803
138,03/05/2021,3022
139,02/26/2021,3941
140,02/19/2021,2285
141,02/12/2021,2036
142,02/05/2021,3240
143,01/29/2021,3024
144,01/22/2021,1709
145,01/15/2021,3794
146,01/08/2021,3228
147,01/01/2021,1737
148,12/25/2020,1701
149,12/18/2020,2465
150,12/11/2020,2797
151,12/04/2020,4645
152,11/27/2020,1943
153,11/20/2020,2397
154,11/13/2020,2506
155,11/06/2020,2734
156,10/30/2020,2764
157,10/23/2020,2204
158,10/16/2020,2082
159,10/09/2020,3151
160,10/02/2020,3073
161,09/25/2020,1610
162,09/18/2020,2146
163,09/11/2020,2413
164,09/04/2020,2479
165,08/28/2020,1898
166,08/21/2020,2553
167,08/14/2020,3593
168,08/07/2020,2478
169,07/31/2020,3191
170,07/24/2020,1935
171,07/17/2020,2948
172,07/10/2020,3024
173,07/03/2020,5007
174,06/26/2020,2877
175,06/19/2020,3383
176,06/12/2020,4180
177,06/05/2020,4425
178,05/29/2020,3385
179,05/22/2020,4024
180,05/15/2020,1958
181,05/08/2020,1866
182,05/01/2020,2166
183,04/24/2020,2000
184,04/17/2020,2047
185,04/10/2020,2244
186,04/03/2020,3041
187,03/27/2020,2892
188,03/20/2020,2267
189,03/13/2020,2161
190,03/06/2020,3002
191,02/28/2020,2084
192,02/21/2020,2560
193,02/14/2020,2983
194,02/07/2020,4008
195,01/31/2020,3202
196,01/24/2020,3151
197,01/17/2020,3018
198,01/10/2020,3071
199,01/03/2020,3666
