,date,val (Mbbl/d)
0,10/27/2023,15251
1,10/20/2023,15189
2,10/13/2023,15396
3,10/06/2023,15203
4,09/29/2023,15602
5,09/22/2023,16065
6,09/15/2023,16304
7,09/08/2023,16800
8,09/01/2023,16623
9,08/25/2023,16603
10,08/18/2023,16776
11,08/11/2023,16746
12,08/04/2023,16579
13,07/28/2023,16517
14,07/21/2023,16478
15,07/14/2023,16585
16,07/07/2023,16659
17,06/30/2023,16030
18,06/23/2023,16254
19,06/16/2023,16470
20,06/09/2023,16586
21,06/02/2023,16647
22,05/26/2023,16165
23,05/19/2023,16069
24,05/12/2023,15990
25,05/05/2023,15745
26,04/28/2023,15735
27,04/21/2023,15833
28,04/14/2023,15844
29,04/07/2023,15585
30,03/31/2023,15615
31,03/24/2023,15813
32,03/17/2023,15376
33,03/10/2023,15398
34,03/03/2023,14967
35,02/24/2023,14979
36,02/17/2023,15010
37,02/10/2023,15027
38,02/03/2023,15410
39,01/27/2023,14961
40,01/20/2023,14981
41,01/13/2023,14853
42,01/06/2023,14651
43,12/30/2022,13820
44,12/23/2022,16149
45,12/16/2022,15976
46,12/09/2022,16126
47,12/02/2022,16585
48,11/25/2022,16638
49,11/18/2022,16410
50,11/11/2022,16152
51,11/04/2022,16089
52,10/28/2022,15842
53,10/21/2022,15436
54,10/14/2022,15550
55,10/07/2022,15683
56,09/30/2022,15961
57,09/23/2022,15751
58,09/16/2022,16355
59,09/09/2022,16022
60,09/02/2022,15929
61,08/26/2022,16238
62,08/19/2022,16255
63,08/12/2022,16423
64,08/05/2022,16581
65,07/29/2022,15853
66,07/22/2022,16027
67,07/15/2022,16319
68,07/08/2022,16640
69,07/01/2022,16438
70,06/24/2022,16666
71,06/17/2022,16263
72,06/10/2022,16320
73,06/03/2022,16387
74,05/27/2022,16033
75,05/20/2022,16269
76,05/13/2022,15935
77,05/06/2022,15696
78,04/29/2022,15466
79,04/22/2022,15684
80,04/15/2022,15717
81,04/08/2022,15523
82,04/01/2022,15948
83,03/25/2022,15913
84,03/18/2022,15878
85,03/11/2022,15601
86,03/04/2022,15377
87,02/25/2022,15398
88,02/18/2022,15246
89,02/11/2022,14902
90,02/04/2022,15577
91,01/28/2022,15248
92,01/21/2022,15497
93,01/14/2022,15453
94,01/07/2022,15573
95,12/31/2021,15867
96,12/24/2021,15703
97,12/17/2021,15818
98,12/10/2021,15670
99,12/03/2021,15785
100,11/26/2021,15631
101,11/19/2021,15640
102,11/12/2021,15397
103,11/05/2021,15366
104,10/29/2021,15023
105,10/22/2021,15048
106,10/15/2021,14990
107,10/08/2021,15061
108,10/01/2021,15744
109,09/24/2021,15415
110,09/17/2021,15347
111,09/10/2021,14387
112,09/03/2021,14302
113,08/27/2021,15938
114,08/20/2021,16072
115,08/13/2021,16006
116,08/06/2021,16197
117,07/30/2021,15920
118,07/23/2021,15875
119,07/16/2021,16007
120,07/09/2021,16093
121,07/02/2021,16115
122,06/25/2021,16299
123,06/18/2021,16112
124,06/11/2021,16337
125,06/04/2021,15925
126,05/28/2021,15597
127,05/21/2021,15239
128,05/14/2021,15116
129,05/07/2021,15020
130,04/30/2021,15243
131,04/23/2021,15018
132,04/16/2021,14765
133,04/09/2021,15051
134,04/02/2021,15044
135,03/26/2021,14941
136,03/19/2021,14389
137,03/12/2021,13433
138,03/05/2021,12310
139,02/26/2021,9903
140,02/19/2021,12230
141,02/12/2021,14819
142,02/05/2021,14793
143,01/29/2021,14641
144,01/22/2021,14721
145,01/15/2021,14760
146,01/08/2021,14650
147,01/01/2021,14376
148,12/25/2020,14287
149,12/18/2020,14014
150,12/11/2020,14183
151,12/04/2020,14436
152,11/27/2020,14012
153,11/20/2020,14263
154,11/13/2020,13841
155,11/06/2020,13447
156,10/30/2020,13552
157,10/23/2020,13388
158,10/16/2020,13026
159,10/09/2020,13577
160,10/02/2020,13853
161,09/25/2020,13670
162,09/18/2020,13370
163,09/11/2020,13488
164,09/04/2020,12779
165,08/28/2020,13868
166,08/21/2020,14712
167,08/14/2020,14487
168,08/07/2020,14658
169,07/31/2020,14637
170,07/24/2020,14595
171,07/17/2020,14206
172,07/10/2020,14309
173,07/03/2020,14347
174,06/26/2020,14033
175,06/19/2020,13840
176,06/12/2020,13600
177,06/05/2020,13484
178,05/29/2020,13307
179,05/22/2020,12991
180,05/15/2020,12903
181,05/08/2020,12383
182,05/01/2020,12976
183,04/24/2020,12761
184,04/17/2020,12456
185,04/10/2020,12665
186,04/03/2020,13634
187,03/27/2020,14898
188,03/20/2020,15838
189,03/13/2020,15820
190,03/06/2020,15701
191,02/28/2020,15696
192,02/21/2020,16008
193,02/14/2020,16210
194,02/07/2020,16020
195,01/31/2020,15972
196,01/24/2020,15924
197,01/17/2020,16857
198,01/10/2020,16973
199,01/03/2020,16897
