,Date,Exports,field_prod,imports,net_imports,refiner_input,stocks,Unemployment,snp,wti,vix,wti_prev
0,10/27/23,4897,13200,6425,1528,15251,773167,3.9,4225.69,85.316,20.384,87.74
1,10/20/23,4833,13200,6013,1180,15189,772394,3.9,4345.36,87.74,19.0059994,84.12333333
2,10/13/23,5301,13200,5942,641,15396,771022,3.9,4362.426667,84.12333333,16.603334,90.79
3,10/6/23,3067,13200,6329,3262,15203,775513,3.9,4328.18,90.79,17.52,91.098
4,9/29/23,4956,12900,6215,1259,15602,765343,3.8,4303.504,91.098,17.7200002,90.672
5,9/22/23,4012,12900,7229,3217,16065,767267,3.8,4443.138,90.672,14.9160002,88.7025
6,9/15/23,5067,12900,6517,1450,16304,769686,3.8,4476.17,88.7025,13.5825,84.98625
7,9/8/23,3090,12900,7582,4492,16800,771222,3.8,4464.636,84.98625,14.05725,81.27
8,9/1/23,4932,12800,6770,1838,16623,766977,3.8,4453.102,81.27,14.532,80.052
9,8/25/23,4528,12800,6617,2089,16603,772486,3.8,4398.418,80.052,16.9159996,81.292
10,8/18/23,4258,12800,6933,2675,16776,782476,3.8,4447.56,81.292,16.1579998,82.82
11,8/11/23,4599,12700,7158,2559,16746,788016,3.8,4487.16,82.82,15.85,81.19
12,8/4/23,2360,12600,6682,4322,16579,793376,3.8,4575.285,81.19,13.48,78.862
13,7/28/23,5283,12200,6668,1385,16517,786530,3.5,4561.192,78.862,13.794,75.26
14,7/21/23,4591,12200,6367,1776,16478,803579,3.5,4532.7,75.26,13.574,75.115
15,7/14/23,3814,12300,7174,3360,16585,804179,3.5,4442.2425,75.115,14.265,70.64
16,7/7/23,2144,12300,5880,3736,16659,804886,3.5,4422.44,70.64,13.59,69.13
17,6/30/23,3901,12400,7038,3137,16030,799341,3.6,4355.758,69.13,13.68,71.08
18,6/23/23,5338,12200,6580,1242,16254,802307,3.6,4393.1175,71.08,13.3825,68.8575
19,6/16/23,4543,12200,6161,1618,16470,813261,3.6,4348.1375,68.8575,14.5,69.46541667
20,6/9/23,3270,12400,6381,3111,16586,818811,3.6,4269.670417,69.46541667,16.14166683,70.07333333
21,6/2/23,2475,12400,6400,3925,16647,812774,3.6,4191.203333,70.07333333,17.78333367,72.524
22,5/26/23,4915,12200,7217,2302,16165,815093,3.7,4172.08,72.524,18.3439998,71.34
23,5/19/23,4549,12300,5850,1301,16069,813122,3.7,4134.734,71.34,17.0120004,71.715
24,5/12/23,4310,12200,6860,2550,15990,827210,3.7,4137.99,71.715,16.9350005,76.78
25,5/5/23,2876,12300,5553,2677,15745,824598,3.7,4129.63,76.78,15.78,76.552
26,4/28/23,4737,12300,6396,1659,15735,824571,3.4,4110.742,76.552,17.658,80.132
