,hid_dim,final_dim,num_layers,num_epochs,lr,test_loss,preds
0,50,20,4,30,1e-06,6.461834971110026,"[80.72648493448894, 80.15108693440756, 80.67981516520182, 80.40872904459636, 80.20993270874024, 79.92915802001953, 81.02551294962565, 80.48474909464518, 80.64173075358073, 80.74038492838541]"
1,50,20,4,30,5e-06,16.268835728963218,"[71.696066664656, 71.17038917442163, 71.52500368654728, 71.441427992781, 71.1935540507237, 71.06916465659937, 72.01713854372501, 71.61045036216576, 71.74337501426538, 71.80686734418074]"
2,50,20,4,30,1e-05,46.24464209238689,"[42.00147381364368, 41.703335640222456, 41.926629453292115, 41.85282917558216, 41.72032464880807, 41.62151915767851, 42.16889324723743, 41.93708475171589, 42.00687084733509, 42.05158189673287]"
3,50,20,4,40,1e-06,8.351540552775065,"[78.64060033162436, 78.07250061035157, 78.51377639770507, 78.34038365681967, 78.09507471720377, 77.88616154988607, 78.93255208333333, 78.45170466105144, 78.59590810139974, 78.6658322652181]"
4,50,20,4,40,5e-06,7.899881032307943,"[80.46233800252278, 79.88049240112305, 80.30564244588216, 80.18608729044597, 79.93845392862956, 79.77066574096679, 80.85320205688477, 80.37904561360678, 80.53458251953126, 80.6138552347819]"
5,50,20,4,40,1e-05,25.795476099650067,"[61.920497917430474, 61.47151669591355, 61.84319256871628, 61.69043352534063, 61.52164232661016, 61.351849897004044, 62.203421043651176, 61.80276262690313, 61.92449292272019, 61.989363121287894]"
6,50,20,4,50,1e-06,10.278355077107745,"[77.15828947275877, 76.57817676117023, 77.14045957773924, 76.84016355723142, 76.69836134165526, 76.41467222422361, 77.5830300733447, 76.95538877695799, 77.13091901987791, 77.21945458302895]"
7,50,20,4,50,5e-06,10.572538197835287,"[77.77217988297343, 77.20859015112121, 77.60744319881002, 77.4939635845522, 77.22643149023254, 77.07238969132304, 78.09875204687317, 77.65721965755026, 77.79537197078268, 77.86001481339335]"
8,50,20,4,50,1e-05,32.959791361490886,"[56.79461901566635, 56.386191752863425, 56.72967499078562, 56.579061441930634, 56.418993329815564, 56.25537802210699, 57.026666211895645, 56.66438480447978, 56.770424091629685, 56.82889131785681]"
9,50,20,5,30,1e-06,6.862210286458335,"[80.15027516682943, 79.57847696940104, 80.03543014526367, 79.85423431396484, 79.61690572102864, 79.40182571411133, 80.45621643066406, 79.98322168986003, 80.12935384114583, 80.21297225952148]"
10,50,20,5,30,5e-06,6.421638437906902,"[81.63747863769531, 81.05006306966146, 81.48367335001628, 81.34292399088541, 81.08048019409179, 80.89335199991862, 81.97502873738607, 81.4991818745931, 81.64499893188477, 81.72091064453124]"
11,50,20,5,30,1e-05,21.17665613810221,"[67.69889460454384, 67.22053131312131, 67.59481898198526, 67.45088028162718, 67.23616190801064, 67.0591591919462, 67.93831543177366, 67.55027323613564, 67.66709528813759, 67.73628016362588]"
12,50,20,5,40,1e-06,7.169993515014648,"[79.7880266825358, 79.20139287312826, 79.75387242635091, 79.45633188883464, 79.2780537923177, 78.9928092956543, 80.11856206258138, 79.53216171264648, 79.70207544962565, 79.79903004964193]"
13,50,20,5,40,5e-06,6.4165938822428386,"[81.60741373697917, 81.03156560262045, 81.38364715576172, 81.33316192626953, 81.01954396565755, 80.88581008911133, 81.88548075358072, 81.50457661946615, 81.63356908162434, 81.70861078898112]"
14,50,20,5,40,1e-05,9.96835708618164,"[79.1317604492108, 78.55633625487486, 79.03008376260598, 78.83180902302266, 78.60327356159686, 78.38914875487487, 79.47564472655455, 78.96442621052265, 79.11611917316914, 79.19148233234883]"
15,50,20,5,50,1e-06,6.519056447347006,"[80.41077270507813, 79.826345316569, 80.30169169108073, 80.11600392659506, 79.89626719156901, 79.6833994547526, 80.79617818196614, 80.27644602457683, 80.43541920979818, 80.52082112630208]"
16,50,20,5,50,5e-06,7.37461031595866,"[80.16390889485677, 79.5819600423177, 80.05296223958334, 79.85865707397461, 79.62355626424154, 79.4050064086914, 80.49251200358073, 79.98229344685872, 80.13410466512045, 80.21305313110352]"
