,Date,Exports,field_prod,imports,net_imports,refiner_input,stocks,Unemployment,snp,wti,vix,wti_prev
0,11/15/23,4889,13200,6373,1484,15399,790600,4.03,4502.88,76.49666667,14.18,75.33
1,11/22/23,4889,13252.8,6373,1484,15475.995,784670.5,4.03,4519.77,0,14.5345,76.49666667
2,11/29/23,4889,13305.8112,6373,1484,15553.37498,778785.4713,4.03,4536.71,0,14.8978625,0
3,12/6/23,4889,13359.03444,6373,1484,15631.14185,772944.5802,4.17,4553.73,0,15.27030906,0
4,12/13/23,4889,13412.47058,6373,1484,15709.29756,767147.4959,4.17,4570.8,0,15.65206679,0
5,12/20/23,4889,13466.12046,6373,1484,15787.84405,761393.8896,4.17,4587.94,0,16.04336846,0
6,12/27/23,4889,13519.98495,6373,1484,15866.78327,755683.4355,4.17,4605.15,0,16.44445267,0
7,1/3/24,4889,13574.06489,6373,1484,15946.11718,750015.8097,4.3,4622.42,0,16.85556399,0
8,1/10/24,4889,13628.36115,6373,1484,16025.84777,744390.6911,4.3,4639.75,0,17.27695309,0
9,1/17/24,4889,13682.87459,6373,1484,16105.97701,738807.761,4.3,4657.15,0,17.70887691,0
10,1/24/24,4889,13737.60609,6373,1484,16186.50689,733266.7027,4.3,4674.62,0,18.15159884,0
