,hid_dim,final_dim,num_layers,num_epochs,lr,test_loss,preds
0,50.0,10.0,2.0,20.0,5e-07,34.44353981018067,"[51.690086364746094, 51.33991241455078, 51.922523498535156, 51.64358901977539, 51.9135856628418, 51.67560577392578, 52.80356979370117, 52.20397186279297, 52.44806671142578, 52.67377471923828]"
1,50.0,10.0,2.0,20.0,1e-06,86.41839828491212,"[0.056611448526382446, 0.056611448526382446, 0.056611448526382446, 0.056611448526382446, 0.056611448526382446, 0.056611448526382446, 0.056611448526382446, 0.056611448526382446, 0.056611448526382446, 0.056611448526382446]"
2,50.0,10.0,2.0,20.0,5e-06,86.19912185668946,"[0.2758837640285492, 0.2758837640285492, 0.2758837640285492, 0.2758837640285492, 0.2758837640285492, 0.2758837640285492, 0.2758837640285492, 0.2758837640285492, 0.2758837640285492, 0.2758837640285492]"
3,50.0,10.0,2.0,20.0,1e-05,86.36860885620118,"[0.1064002513885498, 0.1064002513885498, 0.1064002513885498, 0.1064002513885498, 0.1064002513885498, 0.1064002513885498, 0.1064002513885498, 0.1064002513885498, 0.1064002513885498, 0.1064002513885498]"
4,50.0,10.0,2.0,20.0,5e-05,86.46149673461915,"[0.013510876335203648, 0.013510876335203648, 0.013510876335203648, 0.013510876335203648, 0.013510876335203648, 0.013510876335203648, 0.013510876335203648, 0.013510876335203648, 0.013510876335203648, 0.013510876335203648]"
5,50.0,10.0,2.0,30.0,5e-07,86.22281112670899,"[0.25219568610191345, 0.25219568610191345, 0.25219568610191345, 0.25219568610191345, 0.25219568610191345, 0.25219568610191345, 0.25219568610191345, 0.25219568610191345, 0.25219568610191345, 0.25219568610191345]"
6,50.0,10.0,2.0,30.0,1e-06,86.54264297485352,"[-0.06763114035129547, -0.06763114035129547, -0.06763114035129547, -0.06763114035129547, -0.06763114035129547, -0.06763114035129547, -0.06763114035129547, -0.06763114035129547, -0.06763114035129547, -0.06763114035129547]"
7,50.0,10.0,2.0,30.0,5e-06,86.52392807006837,"[-0.048918768763542175, -0.048918768763542175, -0.048918768763542175, -0.048918768763542175, -0.048918768763542175, -0.048918768763542175, -0.048918768763542175, -0.048918768763542175, -0.048918768763542175, -0.048918768763542175]"
8,50.0,10.0,2.0,30.0,1e-05,86.6000846862793,"[-0.12507762014865875, -0.12507762014865875, -0.12507762014865875, -0.12507762014865875, -0.12507762014865875, -0.12507762014865875, -0.12507762014865875, -0.12507762014865875, -0.12507762014865875, -0.12507762014865875]"
9,50.0,10.0,2.0,30.0,5e-05,86.11842575073243,"[0.35658544301986694, 0.35658544301986694, 0.35658544301986694, 0.35658544301986694, 0.35658544301986694, 0.35658544301986694, 0.35658544301986694, 0.35658544301986694, 0.35658544301986694, 0.35658544301986694]"
10,50.0,10.0,2.0,40.0,5e-07,18.084121704101562,"[68.77928924560547, 68.11542510986328, 68.22476196289062, 68.27769470214844, 67.95397186279297, 67.93408966064453, 69.14529418945312, 68.31912994384766, 68.52494812011719, 68.63426208496094]"
